Name	Birth Date	Death Date	Printed Date	Nationality	Notes
Pozzo, Vincenzo dal
Preti, Alfonso
Priuli, Giovanni	~1577	1629	1575 or 1580-1629
Ratti, Lorenzo
Raval, Sebastiano
Raval, Sebastián	~1550	<1604	c. 1550-bef. 1604
Recalchi, Giovanni Battista
Ricci, Cesarina	~1675	?	c. 1573-?
Roccia, Dattilo
Roinci, Luigi
Rossi, Salomone
Rota, Adriano de la
Rota, Andrea	~1553	1597/06	c. 1553-1597
Rovigo, Francesco
Rubini, Niccolo
Ruffolo, Lucretio
Sabbatini, Galeazzo
Sabbatini, Vincenzo
Sabino, Giovanni Francesco
Sabino, Ippolito	~1550	1593/08/25	c. 1550-1593
Salzilli, Crescenzio
Santini, Marsilio
Sartorius, Paul
Schuyt, Cornelis
Scozzese, Agostino	1550	1584	1550-1584
Serafico, Benedetto	<1575	>1581	fl. 1575-1581
Spano, Donato Antonio	~1585	>1609
Spontone, Alessandro
Spontone, Bartolomeo
Stivori, Francesco	~1550	1605	c. 1550-1605
Striggio, Alessandro
Taroni, Antonio
Torelli, Gaspare
Tosone, Marcello	<1586	>1593<1624	fl. 1586-1593
Tresti, Flaminio	~1560	>1613	c. 1560-aft. 1613
Tristabocca, Pasquale	<1586	>1591	fl. 1586-91
Trombetti, Ascanio
Turco, Giovanni del	1577/06/21	1647/09/20	1577-1647
Ugolini, Vincenzo	~1580	1638/05/06	c. 1580-1638
Vecchi, Orazio
Vecoli, Pietro	<1580	>1597	fl. 1580-1597
Vecoli, Regolo	<1557	>1586	fl. 1557-1586
Veggio, Giovanni Agostino
Venturi del Nibbio, Stefano	<1592	>1600	fl. 1592-1600
Verdonck, Cornelis	1563	1625/07/05	1563-1625
Verso, Antonio il
Vignali, Francesco
Villani, Gabriele
Vinci, Pietro	~1525	>1584/06/14	c. 1525-aft. 1584
Virchi, Paolo	?	1610
Virgelli, Emilio
Vitali, Filippo
Vopa, Giovan Domenico
Wert, Giaches de	1535	1596	1535-1596
Zanotti, Camillo	~1545	1591	c. 1545-1591
Zenaro, Giulio	<1588	>1590	fl. 1588-1590
Zucca, Cesare
