ID:Tam3021430b-Tenore	L903	V7:	Della sua crudeltade
ID:Tam3021430b-Basso	L923	V7:	Della sua crudeltade
ID:Tam3021430b-Quinto	L943	V7:	Della sua crudeltade
ID:Tam3021430b-Sesto	L963	V7:	Della sua crudeltade

ID:A-CM            	L64	V8:	Ben soffrirà ch’io moia
ID:A-1580D         	L108	V8:	Ben soffrirà, ch’io moia,
ID:A-1581Bbis      	L140	V8:	Ben soffrirà, ch’io moia
ID:A-1581O         	L184	V8:	Ben soffrirà, ch’io moia
ID:Tam3021430a-Canto	L804	V8:	Ben soffrirà ch’io moia
ID:Tam3021430a-Basso	L824	V8:	Ben soffrirà ch’io moia
ID:Tam3021430a-Quinto	L844	V8:	Ben soffrirà ch’io moia
ID:Tam3021430b-Canto	L864	V8:	Ben soffrirà ch’io moia
ID:Tam3021430b-Alto	L884	V8:	Ben soffrirà ch’io moia
ID:Tam3021430b-Tenore	L904	V8:	Ben soffrirà ch’io moia
ID:Tam3021430b-Basso	L924	V8:	Ben soffrirà ch’io moia
ID:Tam3021430b-Quinto	L944	V8:	Ben soffrirà ch’io moia
ID:Tam3021430b-Sesto	L964	V8:	Ben soffrirà ch’io moia

ID:A-CM            	L65	V9:	E tu soffrir lo dei
ID:A-1580D         	L109	V9:	E tu soffrir lo dei.
ID:A-1581Bbis      	L141	V9:	E tu soffrir lo dei.
ID:A-1581O         	L185	V9:	E tu soffrir lo dei.
ID:Tam3021430a-Canto	L805	V9:	E tu soffrir lo dei.
ID:Tam3021430a-Basso	L825	V9:	E tu soffrir lo dei.
ID:Tam3021430a-Quinto	L845	V9:	E tu soffrir lo dei.
ID:Tam3021430b-Canto	L865	V9:	E tu soffrir lo dei.
ID:Tam3021430b-Alto	L885	V9:	E tu soffrir lo dei.
ID:Tam3021430b-Tenore	L905	V9:	E tu soffrir lo dei.
ID:Tam3021430b-Basso	L925	V9:	E tu soffrir lo dei.
ID:Tam3021430b-Quinto	L945	V9:	E tu soffrir lo dei.
ID:Tam3021430b-Sesto	L965	V9:	E tu soffrir lo dei.

