ID:Trm0560p-Alto   	L1317	V2:	I bei celesti giri
ID:Trm0560p-Basso  	L1336	V2:	I bei celesti giri

ID:E1              	L23	V3:	Il cielo esser vorrei
ID:S8              	L86	V3:	Il Cielo esser vorrei,
ID:S9              	L105	V3:	Il Cielo esser vorrei,
ID:S11             	L124	V3:	Il Cielo esser vorrei,
ID:S12             	L143	V3:	Il Cielo esser vorrei,
ID:S13             	L162	V3:	Il Cielo esser vorrei,
ID:S145            	L247	V3:	Il Cielo esser vorrei
ID:Trm0560a-Canto  	L288	V3:	Il ciel esser vorrei
ID:Trm0560a-Alto   	L307	V3:	Il ciel esser vorrei
ID:Trm0560a-Tenore 	L326	V3:	Il ciel esser vorrei
ID:Trm0560a-Basso  	L345	V3:	Il ciel esser vorrei
ID:Trm0560a-Quinto 	L364	V3:	Il ciel esser vorrei
ID:Trm0560b-Canto  	L383	V3:	Il ciel esser vorrei
ID:Trm0560b-Alto   	L402	V3:	Il ciel esser vorrei
ID:Trm0560b-Tenore 	L421	V3:	Il ciel esser vorrei
ID:Trm0560b-Basso  	L440	V3:	Il ciel esser vorrei
ID:Trm0560b-Quinto 	L459	V3:	Il ciel esser vorrei
ID:Trm0560c-Canto  	L478	V3:	Il ciel’ esser vorrei
ID:Trm0560c-Alto   	L497	V3:	Il ciel’ esser vorrei
ID:Trm0560c-Tenore 	L516	V3:	Il ciel’esser vorrei
ID:Trm0560c-Basso  	L535	V3:	Il ciel’ esser vorrei
ID:Trm0560c-Quinto 	L554	V3:	Il ciel’ esser vorrei
ID:Trm0560c-Sesto  	L573	V3:	Il ciel’ esser vorrei
ID:Trm0560d-Canto  	L592	V3:	Il cielo esser vorrei
ID:Trm0560d-Alto   	L611	V3:	Il cielo esser vorrei
ID:Trm0560d-Basso  	L630	V3:	Il cielo esser vorrei
ID:Trm0560f-Canto  	L704	V3:	Il ciel esser vorrei
ID:Trm0560f-Alto   	L723	V3:	Il ciel esser vorrei
ID:Trm0560f-Tenore 	L742	V3:	[TACET]
ID:Trm0560f-Basso  	L761	V3:	Il ciel esser vorrei
ID:Trm0560f-Quinto 	L781	V3:	Il ciel esser vorrei
ID:Trm0560h-Alto   	L855	V3:	Il ciel esser vorrei
ID:Trm0560h-Tenore 	L874	V3:	Il ciel esser vorrei
ID:Trm0560h-Quinto 	L893	V3:	Il ciel esser vorrei
ID:Trm0560k-Tenore 	L1011	V3:	Il Ciel esser vorrei
ID:Trm0560m-Canto  	L1052	V3:	Il ciel esser vorrei
ID:Trm0560m-Alto   	L1071	V3:	Il ciel esser vorrei
ID:Trm0560m-Tenore 	L1090	V3:	Il ciel esser vorrei
