ID:Tam1020338f-Quinto	L1344	V4:	Ho visto al pianto mio

ID:A-CM            	L58	V5:	Ma non ho visto mai,
ID:A-1580D         	L110	V5:	Mà non hò visto mai,
ID:A-1581Bbis      	L151	V5:	Ma non ho visto mai,
ID:A-1581O         	L203	V5:	Ma non hò visto mai,
ID:Tam1020338a-Canto	L783	V5:	Ma non ho visto mai
ID:Tam1020338a-Basso	L813	V5:	[TACET]
ID:Tam1020338a-Quinto	L842	V5:	Ma non ho visto mai
ID:Tam1020338b-Canto	L872	V5:	Ma non ho visto mai
ID:Tam1020338c-Canto	L902	V5:	Ma non ho visto mai
ID:Tam1020338c-Tenore	L961	V5:	[TACET]
ID:Tam1020338c-Basso	L989	V5:	[TACET]
ID:Tam1020338c-Quinto	L1016	V5:	Ma non ho visto mai
ID:Tam1020338c-Sesto	L1046	V5:	Ne spero di vedere
ID:Tam1020338d-Canto	L1075	V5:	Ma non ho visto mai;
ID:Tam1020338d-Alto	L1105	V5:	Ma non ho visto mai;
ID:Tam1020338d-Tenore	L1135	V5:	Ma non ho visto mai;
ID:Tam1020338d-Basso	L1165	V5:	Ma non ho visto mai;
ID:Tam1020338d-Quinto	L1195	V5:	Ma non ho visto mai;
ID:Tam1020338e-Canto	L1225	V5:	Ma non ho visto mai
ID:Tam1020338f-Canto	L1255	V5:	Ma non ho visto mai
ID:Tam1020338f-Alto	L1285	V5:	Ma non ho visto mai
ID:Tam1020338f-Tenore	L1315	V5:	[TACET]
ID:Tam1020338f-Quinto	L1345	V5:	Ma non ho visto mai

ID:A-CM            	L59	V6:	Ne spero di vedere
ID:A-1580D         	L111	V6:	Ne spero di vedere
ID:A-1581Bbis      	L152	V6:	Ne spero di vedere
ID:A-1581O         	L204	V6:	Ne spero di vedere
ID:Tam1020338a-Canto	L784	V6:	Ne spero di vedere
ID:Tam1020338a-Basso	L814	V6:	Ne spero di vedere
ID:Tam1020338a-Quinto	L843	V6:	Ne spero di vedere
ID:Tam1020338b-Canto	L873	V6:	Nè spero di vedere
ID:Tam1020338c-Canto	L903	V6:	Ne spero di vedere
ID:Tam1020338c-Tenore	L962	V6:	Compassion nella crudel e bella
ID:Tam1020338c-Basso	L990	V6:	Ne spero di vedere
ID:Tam1020338c-Quinto	L1017	V6:	[TACET] nella crudel e bella
ID:Tam1020338c-Sesto	L1047	V6:	[TACET]
ID:Tam1020338d-Canto	L1076	V6:	Nè spero di vedere
ID:Tam1020338d-Alto	L1106	V6:	Nè spero di vedere
ID:Tam1020338d-Tenore	L1136	V6:	Nè spero di vedere
ID:Tam1020338d-Basso	L1166	V6:	Nè spero di vedere
ID:Tam1020338d-Quinto	L1196	V6:	Nè spero di vedere
